ID	脚本	剧情块	事件ID	指令序号	指令	简体中文
88	bmr	10	00002714	16	12	比克\n这……这股气……！\n是悟饭！！
89	bmr	10	00002714	19	12	魔人布欧\n……那我就夺走小鬼的力量，\n还有那个叫比克的家伙的头脑！
90	bmr	10	00002714	29	12	魔人布欧\n呵呵呵……现在我是最强。
91	bmr	10	00002714	30	12	魔人布欧\n而且还有了最强的手下。
92	bmr	10	00002714	32	12	\n魔人布欧吸收了悟天克斯，\n并将他化作自己的手下。
93	bmr	10	00002714	33	12	\n实力大增的魔人布欧面前，\n出现了在界王神界觉醒真正力量、\n获得宇宙最强力量的悟饭。
94	bmr	10	00002714	36	12	悟饭\n你赢不了……
95	bmr	10	00002714	39	12	魔人布欧\n那可不一定……
96	bmr	10	00002714	52	12	悟天克斯\n…………
97	bmr	10	00002714	55	12	悟饭\n悟天克斯，你怎么了……？
98	bmr	10	00002714	58	12	魔人布欧\n呵呵呵……\n我原本的力量，加上比克的头脑……\n还有悟天克斯的力量。
99	bmr	10	00002714	59	12	魔人布欧\n看来你能取胜的可能性，\n反而更小了吧？
100	bmr	10	00002714	62	12	悟饭\n原来如此……是这么回事。\n我明白了。
101	bmr	10	00002714	65	12	魔人布欧\n那么……就速战速决吧。\n我吸收的悟天克斯，\n可是有时间限制的。
102	bmr	10	00002714	83	12	\n获得团队必杀技\n“银河甜甜圈”！
103	bmr	10	00002714	84	12	\n让魔人布欧（恶）与悟天克斯（超3）\n组成队伍，并在气力达到200时，\n触摸团队必杀技按钮！
104	bmr	11	00002AFC	12	12	魔人布欧\n哈哈哈哈！！\n怎么了？再加把劲啊！\n你已经虚弱不少了！
105	bmr	11	00002AFC	15	12	悟饭\n可……可恶！
106	bmr	11	00002AFC	18	12	魔人布欧\n让你也成为最强魔人的一部分吧。
107	bmr	11	00002AFC	19	12	魔人布欧\n哈！！
108	bmr	11	00002AFC	39	17	布欧又吸收了悟饭，力量进一步增强。\n如今已经没有任何人\n能够阻止这个魔人了……
109	bmr	11	00002AFC	46	12	\n获得特殊能力\n“强力击打”！
110	bmr	11	00002AFC	47	12	\n使用魔人布欧（恶）时，\n气力达到100以上时，\n按L键！
111	bmr	12	00002715	10	17	魔人布欧开始拥有了可怕的力量。
112	bmr	12	00002715	11	17	魔人布欧被悟空和贝吉塔耍得团团转，\n最终遭到击退。
113	bmr	12	00002715	12	17	而就连魔人布欧（恶）都畏惧的\n更加凶暴的本性，也随之觉醒……
114	bmr	12	00002715	18	12	魔人布欧\n呜嘎嘎嘎嘎——！
115	bmr	12	00002715	25	17	魔人布欧在一瞬间\n将地球彻底毁灭。
116	bmr	12	00002715	26	17	但魔人布欧发现悟空使用瞬间移动\n逃走后，立刻追了上去。
117	bmr	12	00002715	35	12	魔人布欧\n哈哈——！
118	bmr	12	00002715	38	12	贝吉塔\n……卡卡罗特！\n我来尽量拖住他！\n用元气弹打倒他！
119	bmr	12	00002715	41	12	撒旦先生\n嘎哈哈哈……！\n交给我吧！\n还有我呢！
120	bmr	12	00002715	44	12	魔人布欧\n保护撒旦……！\n……战斗！
121	bmr	13	00002AFD	12	12	贝吉塔\n还没好吗，卡卡罗特！
122	bmr	13	00002AFD	15	12	悟空\n地球上的大家！\n拜托把你们的元气分给我！\n我需要大家的帮助！
123	bmr	13	00002AFD	18	12	撒旦先生\n我也拜托你们了！\n你们还不快来帮忙——！
124	bmr	13	00002AFD	33	12	悟空\n……来了！\n干得不错嘛，撒旦！\n你说不定真是救世主！
125	bmr	13	00002AFD	34	12	悟空\n布欧……等你转世以后，\n我们再一对一较量吧。
126	bmr	13	00002AFD	35	12	悟空\n再见了！
127	bmr	14	00002716	9	17	轻松击退悟天克斯后，\n布欧又像往常一样\n和撒旦玩耍。某一天……
128	bmr	14	00002716	15	12	悟天克斯\n喂喂喂——！
129	bmr	14	00002716	18	12	魔人布欧\n嗯？你是……\n又来了吗？
130	bmr	14	00002716	23	12	悟天克斯\n既然被本大爷盯上，\n你就别想逃！
131	bmr	14	00002716	26	12	撒旦先生\n真是的，拿这家伙没办法……
132	bmr	14	00002716	29	12	悟天克斯\n那就请你去死吧！
133	bmr	14	00002716	51	12	魔人布欧\n啊！！撒旦做的点心！！
134	bmr	14	00002716	56	12	魔人布欧\n……我生气了。
135	bmr	15	00002AFE	12	12	魔人布欧\n全——都是你的错！！\n变成点心吧！！
136	bmr	15	00002AFE	16	14	悟天克斯\n呜嘎啊啊啊啊！
137	bmr	15	00002AFE	27	12	撒旦先生\n这、这这这……\n人竟然变成了点心……
138	bmr	15	00002AFE	30	12	魔人布欧\n嗯——，这点还不够。\n把附近城镇里的人\n也都变成点心吧。
139	bmr	15	00002AFE	33	12	撒旦先生\n还……还是不行啊……\n不能杀人，也不能搞破坏……
140	bmr	15	00002AFE	36	12	魔人布欧\n你觉得，\n这些事不可以做吗？
141	bmr	15	00002AFE	39	12	撒旦先生\n是……是啊，算是吧……
142	bmr	15	00002AFE	42	12	魔人布欧\n那就不做了。\n也把这家伙变回来。
143	bmr	15	00002AFE	59	12	\n获得究极技\n“欢乐甜点”！
144	bmr	15	00002AFE	60	12	\n魔人布欧（善）的体力变红时，\n将气力提升至150以上，\n靠近对手按下X＋A键！
145	bmr	16	00002717	11	17	魔人布欧打开的次元裂缝\n贯穿了多个次元，\n一直延伸到了地狱入口。
146	bmr	16	00002717	17	12	贝吉塔\n你是……刚才那个\n什么魔王来着……
147	bmr	16	00002717	20	12	达普拉\n呵呵呵……反正都要下地狱。\n没必要非在这种寒酸的地方\n交手吧……
148	bmr	16	00002717	23	12	贝吉塔\n哼……你这家伙……\n刚才说赛亚人很弱吧。
149	bmr	16	00002717	29	12	贝吉塔\n不当着众人的面\n把你狠狠打倒，\n我就永远洗不掉耻辱……嗯？
150	bmr	16	00002717	32	12	魔人布欧\n呜呜呜呜呜……
151	bmr	16	00002717	35	12	达普拉\n魔人……！
152	bmr	16	00002717	38	12	贝吉塔\n布欧……！
153	bmr	16	00002717	39	12	贝吉塔\n这家伙为什么会出现在这里……！？
154	bmr	16	00002717	42	12	达普拉\n谁知道……\n不过，只要我们联手，\n说不定还能应付！
155	bmr	16	00002717	45	12	贝吉塔\n啧……暂时休战！
156	bmr	17	00002AFF	11	12	魔人布欧\n咕……呜……！
157	bmr	17	00002AFF	14	12	达普拉\n魔……\n魔人……布欧！？
158	bmr	17	00002AFF	17	12	魔人布欧\n这里……你来带路。\n带我去……强者那里。
159	bmr	17	00002AFF	20	12	达普拉\n……知、\n知道了！
160	bmr	17	00002AFF	37	12	\n新增角色\n“达普拉”！\n可在角色选择中使用！
161	bmr	18	00002718	9	17	布欧让达普拉担任向导，\n四处寻找能入他眼的\n强大气息。
162	bmr	18	00002718	15	12	魔人布欧\n没有……
163	bmr	18	00002718	16	12	魔人布欧\n没有……强者。
164	bmr	18	00002718	18	12	\n然而，感受到魔人布欧\n强烈杀气的地狱帝王，\n现身了。
165	bmr	18	00002718	22	12	沙鲁\n欢迎来到地狱……\n看来你拥有相当强大的力量。
166	bmr	18	00002718	25	12	弗利萨\n沙鲁先生……\n看来和这位野蛮人\n是讲不通道理的。
167	bmr	18	00002718	28	12	魔人布欧\n呼……哈……\n你很强，和我打。\n我要……杀了你。
168	bmr	18	00002718	32	12	达普拉\n那是沙鲁……！\n听说他转眼之间\n就统治了整个地狱……
169	bmr	18	00002718	35	12	魔人布欧\n你也一起打！
170	bmr	18	00002718	40	12	达普拉\n什么！？
171	bmr	19	00002B00	10	17	魔人布欧只打了一会儿，\n便对沙鲁的实力感到厌烦，\n最后甚至睡着了。
172	bmr	19	00002B00	11	17	但对达普拉而言，\n沙鲁却是实力相当的强敌。
173	bmr	19	00002B00	17	12	达普拉\n呃……！\n这家伙真的很强！
174	bmr	19	00002B00	20	12	魔人布欧\n哈啊啊啊啊……\n你们的战斗……\n真无聊！
175	bmr	19	00002B00	30	12	\n魔人布欧挥下的一击，\n轻而易举地贯穿了沙鲁。
176	bmr	19	00002B00	32	12	达普拉\n消失吧！！
177	bmr	19	00002B00	37	12	\n达普拉的攻击紧随而至，\n沙鲁就此倒下。
178	bmr	19	00002B00	39	12	魔人布欧\n这里……真无聊。\n我要回去了。
179	bmr	19	00002B00	42	12	达普拉\n什么！？\n等、等一下……
180	bmr	19	00002B00	47	14	魔人布欧\n呜啊啊啊啊啊啊啊——！
181	bmr	19	00002B00	56	17	布欧再次打开了次元之门。\n他究竟能不能\n回到原来的世界呢？
182	bmr	19	00002B00	63	12	\n获得团队必杀技\n“暗黑剑斩”！
183	bmr	19	00002B00	64	12	\n让魔人布欧（恶）与达普拉\n组成队伍，并在气力达到200时，\n触摸团队必杀技按钮！
184	bmr	19	00002B00	74	12	\n获得究极技\n“九头蛇粉碎击”！
185	bmr	19	00002B00	75	12	\n魔人布欧（恶）的体力变红时，\n将气力提升至150以上，\n面向侧方按下X＋A键！
186	bmr	20	00004E20	14	14	魔人布欧\n咕啊、啊啊啊……！
187	bmr	20	00004E20	27	12	\n悟空释放的元气弹，\n彻底消灭了魔人布欧。
188	bmr	20	00004E20	32	17	……布欧的灵魂留在了地球。
189	bmr	20	00004E20	33	17	并转世为新的战士——欧布。
190	bmr	20	00004E20	39	12	欧布\n那我去参加天下第一武道会了……\n我出发了！
191	bmr	21	00004E21	8	17	魔人布欧和撒旦\n过着悠闲自在的生活。
192	bmr	21	00004E21	9	17	在撒旦的影响下，\n魔人布欧的性格逐渐变得温和。
193	bmr	21	00004E21	10	17	然而，这份温柔终有一天\n会被一声枪响\n彻底击碎……！
194	brl	0	00002710	8	17	布罗利凭借强大的力量，\n被视为威胁贝吉塔王族地位的存在，\n险些与父亲帕拉伽斯一同被处决。
195	brl	0	00002710	9	17	然而，布罗利潜藏的力量\n帮助帕拉伽斯逃过绝境，\n父子二人就此立誓复仇。
196	brl	0	00002710	10	17	多年以后……\n帕拉伽斯现身在\n身处地球的贝吉塔面前。
197	brl	0	00002710	11	17	他以重建贝吉塔行星\n和传说中的超级赛亚人为诱饵，\n将贝吉塔引到了新行星……
198	brl	0	00002710	17	12	贝吉塔\n帕拉伽斯……\n你竟敢骗我！
199	brl	0	00002710	21	12	帕拉伽斯\n就连你这没脑子的家伙，\n也总算弄明白了！\n这一切都是为杀你设下的陷阱！
200	brl	0	00002710	22	12	帕拉伽斯\n本来打算让你随着彗星撞击，\n一起死在这里……
201	brl	0	00002710	23	12	帕拉伽斯\n布罗利！！\n用你真正的力量，\n把贝吉塔彻底消灭！！！
202	brl	0	00002710	36	12	布罗利\n呵呵呵……唯独你，\n我绝不会让你轻易死掉！！
203	brl	1	00002AF8	14	12	帕拉伽斯\n辛苦了，布罗利……\n接下来，该清理混进这颗星球的\n垃圾了。
204	brl	1	00002AF8	17	12	布罗利\n呜……呜呜……
205	brl	1	00002AF8	22	12	帕拉伽斯\n布罗利！\n用你的力量，\n把赛亚人斩草除根！！
206	brl	1	00002AF8	38	12	帕拉伽斯\n呵呵呵……\n只要能随心所欲地操纵这股力量，\n我就能统治全宇宙……
207	brl	3	00002711	14	17	帕拉伽斯施展计谋，\n成功击败了贝吉塔。
208	brl	3	00002711	15	17	但特兰克斯和悟饭\n追随贝吉塔的脚步，\n也赶到了这里。
209	brl	3	00002711	21	12	帕拉伽斯\n布罗利！\n给贝吉塔最后一击！！
210	brl	3	00002711	29	12	特兰克斯\n住手！！\n离我爸爸远点！
211	brl	3	00002711	32	12	帕拉伽斯\n哦……\n这不是特兰克斯王子吗……\n卡卡罗特的儿子也一起来了！
212	brl	3	00002711	33	12	帕拉伽斯\n来得正好……\n布罗利！\n干掉他们！！
213	brl	3	00002711	44	12	比克\n哈——！！
214	brl	3	00002711	54	12	布罗利\n又有一只虫子\n赶来送死吗……
215	brl	3	00002711	59	12	比克\n你这怪物……\n别以为能为所欲为！
216	brl	3	00002711	65	12	布罗利\n我是怪物……？\n不对……
217	brl	3	00002711	68	12	布罗利\n我是恶魔！
218	brl	4	00002AF9	13	12	悟饭\n爸……爸……
219	brl	4	00002AF9	18	12	比克\n可恶……要是以为\n来到这颗星球的只有我们……\n那你就大错特错了……！
220	brl	4	00002AF9	23	12	帕拉伽斯\n只要布罗利的力量受我控制，\n无论谁来都没有用！
221	brl	4	00002AF9	30	12	悟空\n来晚了，\n真是抱歉啊……
222	brl	4	00002AF9	33	12	布罗利\n卡卡罗特……！
223	brl	5	00002712	13	17	布罗利击败贝吉塔，\n又打倒了特兰克斯和悟饭。
224	brl	5	00002712	14	17	眼看一切都将按照\n帕拉伽斯的计划进行，\n卡卡罗特……悟空却出现了。
225	brl	5	00002712	22	12	布罗利\n卡……卡卡罗特——！！！\n先从你开始，\n把你变成血祭！！！
226	brl	5	00002712	25	12	帕拉伽斯\n等等，布罗利！没时间了！\n彗星马上就会撞上这颗星球，\n它很快就要爆炸了！
227	brl	5	00002712	30	12	布罗利\n闭嘴……
228	brl	5	00002712	35	12	帕拉伽斯\n可恶！
229	brl	5	00002712	52	12	帕拉伽斯\n不行……已经控制不住了！
230	brl	5	00002712	55	12	贝吉塔\n可恶……卡卡罗特……\n把仙豆给我……
231	brl	5	00002712	58	12	帕拉伽斯\n布罗利……快点分出胜负！\n拖得太久，\n我们就无法逃出去了！！
232	brl	5	00002712	67	12	\n获得特殊能力\n“打倒卡卡罗特！”
233	brl	5	00002712	68	12	\n使用布罗利时，\n对手阵容中有悟空，且气力达到150以上，\n按下L键！
234	brl	6	00002AFA	20	12	布罗利\n卡卡罗特——……
235	brl	6	00002AFA	23	12	帕拉伽斯\n很好，布罗利……干得漂亮。\n现在你已名副其实地成为银河最强。\n走吧……我们撤离！
236	brl	6	00002AFA	28	12	布罗利\n…………
237	brl	6	00002AFA	33	12	帕拉伽斯\n布罗利！！
238	brl	6	00002AFA	41	12	布罗利\n是……是，爸爸。
239	brl	7	00002EE2	15	12	悟空\n我也算很耐打了……\n可那家伙……根本不是一个级别……
240	brl	7	00002EE2	18	12	布罗利\n已经结束了吗……？\n垃圾终究只是垃圾……\n哈——哈哈哈哈哈哈！！
241	brl	7	00002EE2	29	12	帕拉伽斯\n不妙……！！\n布罗利已经\n完全不受控制了！
242	brl	7	00002EE2	30	12	帕拉伽斯\n……这颗星球只剩几个小时了。\n不再受控制的你，\n已经成了我的累赘。
243	brl	7	00002EE2	31	12	帕拉伽斯\n虽然很可怜，\n但你就和这颗星球一起死吧。
244	brl	7	00002EE2	34	12	布罗利\n你打算去哪里……
245	brl	7	00002EE2	41	12	帕拉伽斯\n呜啊——！\n住、住手——！
246	brl	7	00002EE2	58	17	就这样，新贝吉塔行星\n从宇宙中消失了。
247	brl	7	00002EE2	59	17	布罗利被卷入星球爆炸，\n所有人都以为他已经死去。\n然而……
248	brl	8	00002713	11	17	新贝吉塔行星爆炸后，\n七年过去了。
249	brl	8	00002713	12	17	布罗利乘宇宙飞船逃出生天，\n在宇宙中漂泊许久后，\n最终抵达了地球。
250	brl	8	00002713	13	17	然而在地球上，\n悟空早已在与沙鲁的战斗中\n牺牲了。
251	brl	8	00002713	14	17	就在布罗利坠落的地点附近，\n毫不知情的悟饭、悟天等人\n正好前来游玩……
252	brl	8	00002713	20	12	悟天\n特兰克斯，等等我～！
253	brl	8	00002713	23	12	特兰克斯\n喂——，悟天！\n咦……快看那边……
254	brl	8	00002713	25	12	\n看到长得酷似悟空的悟天瞬间，\n布罗利突然狂暴起来。
255	brl	8	00002713	29	14	布罗利\n呜呜呜……\n……卡……卡卡罗特！\n是卡卡罗特——！
256	brl	8	00002713	39	12	悟天\n哇……哇啊……！\n他追过来了，特兰克斯！
257	brl	8	00002713	42	12	特兰克斯\n既然这样……悟天！
258	brl	8	00002713	45	12	悟天\n嗯！
259	brl	8	00002713	57	12	悟天\n融——……！
260	brl	8	00002713	59	12	特兰克斯\n合！
261	brl	8	00002713	61	14	悟天＆特兰克斯\n嘿！
262	brl	8	00002713	86	12	悟天克斯\n锵锵——！
263	brl	8	00002713	87	12	悟天克斯\n不知道你是哪来的赛亚人，\n就让我告诉你，\n谁才是最强的！
264	brl	9	00002AFB	14	12	悟天克斯\n还……还挺强嘛……\n不过本大爷真正的力量，\n现在就让你看个够！
265	brl	9	00002AFB	21	12	悟天＆特兰克斯\n……
266	brl	9	00002AFB	23	12	悟天\n融合结束了……
267	brl	9	00002AFB	26	12	特兰克斯\n……悟天，快逃！
268	brl	10	00002714	11	17	悟天和特兰克斯通过融合\n迎战布罗利，\n却依然败下阵来。
269	brl	10	00002714	12	17	与此同时，\n悟饭正和比迪丽两人\n进行舞空术特训。
270	brl	10	00002714	18	12	悟天\n哥哥——！快救命——！\n你……你快看那边——！
271	brl	10	00002714	23	14	布罗利\n呜哦哦哦——！\n咕哦哦哦——！
272	brl	10	00002714	28	12	悟饭\n布、布……布罗利！？
273	brl	11	00002AFC	13	12	悟饭\n已……已经不行了吗……
274	brl	11	00002AFC	24	12	悟空\n还没有！\n还没结束……悟饭！\n你还没有使出全部力量！
275	brl	11	00002AFC	35	12	悟饭\n爸……爸爸！
276	brl	11	00002AFC	40	14	布罗利\n卡卡罗特——……！
277	brl	12	00002715	12	17	击败贝吉塔后，\n布罗利与帕拉伽斯一同\n逃离了新贝吉塔行星。
278	brl	12	00002715	13	17	他们的下一个目标，\n是毁灭贝吉塔行星、将赛亚人\n逼至灭族的弗利萨一伙。
279	brl	12	00002715	14	17	但弗利萨早已在地球上\n被特兰克斯打倒，\n如今一伙人由古拉掌权。
280	brl	12	00002715	27	12	古拉\n你是……\n竟然还有赛亚人\n活了下来。
281	brl	12	00002715	30	12	内兹\n古拉大人，这里请交给我们！
282	brl	12	00002715	33	12	多雷\n这种战斗力连一万都不到的废物，\n就由本大爷来收拾！
283	brl	12	00002715	36	12	帕拉伽斯\n呵呵呵……\n你们根本一无所知。
284	brl	12	00002715	37	12	帕拉伽斯\n这个布罗利，\n正是传说中的超级赛亚人！！
285	brl	12	00002715	44	14	布罗利\n呜哦哦哦哦！！
286	brl	13	00002AFD	12	12	帕拉伽斯\n呵呵呵……\n不愧是你……不愧是布罗利！！\n就这样建立我们的帝国吧！
287	brl	14	00002716	13	17	击败古拉后，\n布罗利和帕拉伽斯\n建立起了庞大的宇宙帝国。
288	brl	14	00002716	14	17	银河中似乎已经\n再没有他们的敌手。\n然而……
289	brl	14	00002716	15	17	地球再次出现强大能量反应，\n感知到它的布罗利\n一天比一天狂暴。
290	brl	14	00002716	21	12	布罗利\n咕……咕哦哦哦！\n战斗……敌人……敌人！
291	brl	14	00002716	24	12	帕拉伽斯\n自从打倒巴达克的儿子后，\n布罗利的意志越来越强，\n我的控制力也在减弱……
292	brl	14	00002716	25	12	帕拉伽斯\n这样下去太危险了。\n必须先让布罗利稳定下来！
293	brl	14	00002716	31	17	为了切断能量源头，\n帕拉伽斯带着布罗利\n飞往了地球。
294	brl	14	00002716	32	17	在地球上，沙鲁趁悟空等人死亡之机，\n轻易进化为完全体，\n四处大肆破坏。
295	brl	14	00002716	43	14	布罗利\n呜嘎啊啊啊啊啊！
296	brl	14	00002716	50	12	沙鲁\n……什么人？\n看起来像赛亚人，\n但似乎不是孙悟空。
297	brl	14	00002716	55	12	布罗利\n哈……哈……\n敌人……杀掉……\n敌人……杀掉！
298	brl	14	00002716	62	12	沙鲁\n也好。好不容易成为完全体，\n孙悟空却不在，正觉得无聊。\n我来陪你玩玩！
299	brl	15	00002AFE	12	12	沙鲁\n什……什么！\n我、我竟然会败……！
300	brl	15	00002AFE	17	14	布罗利\n呜哦哦哦哦哦哦……！\n哈啊啊啊啊啊啊！
