priority	code_hex	native_character	page	x0	y0	x1	y1	status	original_status	safety_tier	arm9_aligned_le_hits	arm7_aligned_le_hits	warning
92	82B7	す	0	90	225	104	239	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
93	82B9	せ	0	120	225	134	239	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
94	82BA	ぜ	0	135	225	149	239	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
95	82BB	そ	0	150	225	164	239	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
96	82C1	っ	0	240	225	254	239	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
97	82C2	つ	0	0	240	14	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
98	82C4	て	0	30	240	44	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
99	82C5	で	0	45	240	59	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
100	82C6	と	0	60	240	74	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
101	82C9	に	0	105	240	119	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
102	82CA	ぬ	0	120	240	134	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
103	82CB	ね	0	135	240	149	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
104	82CC	の	0	150	240	164	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
105	82CD	は	0	165	240	179	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
106	82CE	ば	0	180	240	194	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
107	82CF	ぱ	0	195	240	209	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
108	82D1	び	0	225	240	239	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
109	82D2	ぴ	0	240	240	254	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
110	82D3	ふ	1	0	0	14	14	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
111	82D4	ぶ	1	15	0	29	14	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
112	82D6	へ	1	45	0	59	14	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
113	82D8	ぺ	1	75	0	89	14	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
114	82D9	ほ	1	90	0	104	14	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
115	82DA	ぼ	1	105	0	119	14	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
116	82DB	ぽ	1	120	0	134	14	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
117	82DE	む	1	165	0	179	14	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
118	82E0	も	1	195	0	209	14	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
119	82E2	や	1	225	0	239	14	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
120	82E3	ゅ	1	240	0	254	14	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
121	82E5	ょ	1	15	15	29	29	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
122	82E6	よ	1	30	15	44	29	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
123	82E7	ら	1	45	15	59	29	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
124	82E8	り	1	60	15	74	29	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
125	82E9	る	1	75	15	89	29	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
126	82EB	ろ	1	105	15	119	29	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
127	82ED	わ	1	120	15	134	29	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
128	8341	ア	1	180	15	194	29	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
129	8342	ィ	1	195	15	209	29	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
130	8344	ゥ	1	225	15	239	29	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
131	8346	ェ	1	0	30	14	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
132	8347	エ	1	15	30	29	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
133	8349	オ	1	45	30	59	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
134	834A	カ	1	60	30	74	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
135	834B	ガ	1	75	30	89	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
136	834D	ギ	1	105	30	119	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
137	834E	ク	1	120	30	134	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
138	834F	グ	1	135	30	149	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
139	8351	ゲ	1	165	30	179	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
140	8352	コ	1	180	30	194	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
141	8353	ゴ	1	195	30	209	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
142	8355	ザ	1	225	30	239	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
143	8356	シ	1	240	30	254	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
144	8357	ジ	1	0	45	14	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
145	8358	ス	1	15	45	29	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
146	8359	ズ	1	30	45	44	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
147	835A	セ	1	45	45	59	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
148	835B	ゼ	1	60	45	74	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
149	835D	ゾ	1	90	45	104	59	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
150	835E	タ	1	105	45	119	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
151	835F	ダ	1	120	45	134	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
152	8360	チ	1	135	45	149	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
153	8361	ヂ	1	150	45	164	59	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
154	8363	ツ	1	180	45	194	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
155	8364	ヅ	1	195	45	209	59	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
156	8365	テ	1	210	45	224	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
157	8367	ト	1	240	45	254	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
158	8369	ナ	1	15	60	29	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
159	836A	ニ	1	30	60	44	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
160	836C	ネ	1	60	60	74	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
161	836D	ノ	1	75	60	89	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
162	836E	ハ	1	90	60	104	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
163	836F	バ	1	105	60	119	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
164	8371	ヒ	1	135	60	149	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
165	8372	ビ	1	150	60	164	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
166	8373	ピ	1	165	60	179	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
167	8375	ブ	1	195	60	209	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
168	8376	プ	1	210	60	224	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
169	8377	ヘ	1	225	60	239	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
170	837A	ホ	1	15	75	29	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
171	837B	ボ	1	30	75	44	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
172	837C	ポ	1	45	75	59	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
173	837D	マ	1	60	75	74	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
174	837E	ミ	1	75	75	89	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
175	8381	メ	1	105	75	119	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
176	8382	モ	1	120	75	134	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
177	8383	ャ	1	135	75	149	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
178	8386	ユ	1	180	75	194	89	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
179	8387	ョ	1	195	75	209	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
180	8389	ラ	1	225	75	239	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
181	838A	リ	1	240	75	254	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
182	838B	ル	1	0	90	14	104	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
183	838D	ロ	1	30	90	44	104	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
184	8393	ン	1	75	90	89	104	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
185	83BF	α	1	135	90	149	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
186	83C4	ζ	1	180	90	194	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
187	83C7	ι	1	195	90	209	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
188	83CC	ξ	1	210	90	224	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
189	83D6	ω	1	225	90	239	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
190	845E	Э	1	15	105	29	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
